Begin New Game
2021.10.16 13:59:43
***********************************************
Round: 1
Player1 Card: 08Spades
Player2 Card: 10Hearts
Player2 wins Battle!
Round: 1
Player1 Card: 13Diamonds
Player2 Card: 08Hearts
Player1 wins Battle!
Round: 1
Player1 Card: 02Diamonds
Player2 Card: 01Clubs
Player1 wins Battle!
Round: 1
Player1 Card: 01Diamonds
Player2 Card: 05Hearts
Player2 wins Battle!
Round: 1
Player1 Card: 12Clubs
Player2 Card: 11Hearts
Player1 wins Battle!
Round: 1
Player1 Card: 08Clubs
Player2 Card: 03Clubs
Player1 wins Battle!
Round: 1
Player1 Card: 09Clubs
Player2 Card: 13Spades
Player2 wins Battle!
Round: 1
Player1 Card: 09Spades
Player2 Card: 09Hearts
Player1 wins Battle!
Round: 1
Player1 Card: 07Spades
Player2 Card: 03Hearts
Player1 wins Battle!
Round: 1
Player1 Card: 12Hearts
Player2 Card: 01Hearts
Player1 wins Battle!
Round: 1
Player1 Card: 02Clubs
Player2 Card: 13Clubs
Player2 wins Battle!
Round: 1
Player1 Card: 06Diamonds
Player2 Card: 05Clubs
Player1 wins Battle!
Round: 1
Player1 Card: 02Hearts
Player2 Card: 04Clubs
Player2 wins Battle!
Round: 2
Player1 Card: 05Clubs
Player2 Card: 04Clubs
Player1 wins Battle!
Round: 2
Player1 Card: 06Diamonds
Player2 Card: 02Hearts
Player1 wins Battle!
Round: 2
Player1 Card: 01Hearts
Player2 Card: 13Clubs
Player2 wins Battle!
Round: 2
Player1 Card: 12Hearts
Player2 Card: 02Clubs
Player1 wins Battle!
Round: 2
Player1 Card: 03Hearts
Player2 Card: 13Spades
Player2 wins Battle!
Round: 2
Player1 Card: 07Spades
Player2 Card: 09Clubs
Player2 wins Battle!
Round: 2
Player1 Card: 09Hearts
Player2 Card: 05Hearts
Player1 wins Battle!
Round: 2
Player1 Card: 09Spades
Player2 Card: 01Diamonds
Player1 wins Battle!
Round: 3
Player1 Card: 01Diamonds
Player2 Card: 09Clubs
Player2 wins Battle!
Round: 3
Player1 Card: 09Spades
Player2 Card: 07Spades
Player1 wins Battle!
Round: 3
Player1 Card: 05Hearts
Player2 Card: 13Spades
Player2 wins Battle!
Round: 3
Player1 Card: 09Hearts
Player2 Card: 03Hearts
Player1 wins Battle!
Round: 3
Player1 Card: 02Clubs
Player2 Card: 13Clubs
Player2 wins Battle!
Round: 4
Player1 Card: 03Hearts
Player2 Card: 13Clubs
Player2 wins Battle!
Round: 4
Player1 Card: 09Hearts
Player2 Card: 02Clubs
Player1 wins Battle!
Round: 5
Player1 Card: 02Clubs
Player2 Card: 13Clubs
Player2 wins Battle!
Player2 Wins Game!
----------------------------------------------
Begin New Game
2021.10.16
14:13:34
***********************************************
Round: 1
Player1 Card: 07Spades
Player2 Card: 12Spades
Player2 wins Battle!
Begin New Game
2021.10.16
14:15:06
***********************************************
Round: 1
Player1 Card: 01Hearts
Player2 Card: 13Spades
Player2 wins Battle!
Begin New Game
2021.10.16 14:21:26
***********************************************
Round: 1
Player1 Card: 01Spades
Player2 Card: 12Clubs
Player2 wins Battle!
Begin New Game
2021.10.16 14:21:48
***********************************************
Round: 1
Player1 Card: 11Clubs
Player2 Card: 13Hearts
Player2 wins Battle!
Begin New Game
2021.10.16 14:22:44
***********************************************
Round: 1
Player1 Card: 01Spades
Player2 Card: 03Diamonds
Player2 wins Battle!
Begin New Game
2021.10.16 14:23:20
***********************************************
Round: 1
Player1 Card: 06Spades
Player2 Card: 03Spades
Player1 wins Battle[Round]!
Begin New Game
2021.10.10/16/21 14:25:34
***********************************************
Round: 1
Player1 Card: 02Hearts
Player2 Card: 04Diamonds
Player2 wins Battle!
Begin New Game
2021.10.10/16/21 14:28:42
***********************************************
Round: 1
Player1 Card: 12Clubs
Player2 Card: 07Diamonds
Player1 wins Battle[Round]!
Begin New Game
2021.10.16 14:32:34
***********************************************
Round: 1
Player1 Card: 01Diamonds
Player2 Card: 13Diamonds
Player2 wins Battle!
Begin New Game
16/10/2021 14:33:35
***********************************************
Round: 1
Player1 Card: 11Diamonds
Player2 Card: 04Diamonds
Player1 wins Battle[Round]!
Begin New Game
14:41:08
***********************************************
Round: 1
Player1 Card: 05Hearts
Player2 Card: 05Diamonds
Player1 wins Battle[Round]!
Begin New Game
14:42:24
***********************************************
Round: 1
Player1 Card: 13Spades
Player2 Card: 13Clubs
Player1 wins Battle[Round]!
Begin New Game
14:44:35
***********************************************
Round: 1
Player1 Card: 02Hearts
Player2 Card: 04Clubs
Player2 wins Battle!
Begin New Game
14:45:01
***********************************************
Round: 1
Player1 Card: 13Clubs
Player2 Card: 06Hearts
Player1 wins Battle[Round]!
Begin New Game
14:51:33
***********************************************
Round: 1
Player1 Card: 10Diamonds
Player2 Card: 07Spades
Player1 wins Battle[Round]!
Begin New Game
14:52:27
***********************************************
Round: 1
Player1 Card: 12Hearts
Player2 Card: 09Diamonds
Player1 wins Battle[Round]!
Begin New Game
14:59:03
***********************************************
Round: 1
Player1 Card: 07Hearts
Player2 Card: 10Hearts
